n,seconds
873,0.0189627830
874,0.0189810960
875,0.0184155180
876,0.0203869280
877,0.0193373540
878,0.0188928830
879,0.0193108660
880,0.0203787920
881,0.0197518600
882,0.0216955260
883,0.0227467550
884,0.0209109160
885,0.0201281480
886,0.0200429560
887,0.0201634340
888,0.0207881060
889,0.0212146730
890,0.0212218650
891,0.0208749150
892,0.0202384090
893,0.0202011520
894,0.0202864300
895,0.0204173190
896,0.0203386800
897,0.0205951310
898,0.0205184130
899,0.0208508910
900,0.0208501710
901,0.0206646750
902,0.0237607770
903,0.0212598540
904,0.0207422070
905,0.0206686740
906,0.0204355010
907,0.0197994370
908,0.0195756720
909,0.0198494140
910,0.0198568160
911,0.0199706440
912,0.0200868850
913,0.0199937980
914,0.0198365410
915,0.0202059410
916,0.0200222240
917,0.0200507790
918,0.0200846090
919,0.0200585180
920,0.0203129370
921,0.0210605900
922,0.0224440520
923,0.0216032930
924,0.0222797770
925,0.0254279740
926,0.0229035650
927,0.0223854840
928,0.0223966170
929,0.0224178350
930,0.0232485710
931,0.0222448450
932,0.0223378210
933,0.0223259770
934,0.0222464640
935,0.0223314860
936,0.0223146960
937,0.0222248160
938,0.0218657120
939,0.0213295350
940,0.0211326220
941,0.0211396670
942,0.0215058460
943,0.0227177540
944,0.0214166610
945,0.0217526790
946,0.0217880590
947,0.0220031950
948,0.0216682800
949,0.0226039420
950,0.0218365910
951,0.0217418410
952,0.0221671000
953,0.0231264430
954,0.0226922190
955,0.0230221190
956,0.0270767200
957,0.0262557400
958,0.0328145930
959,0.0359440420
960,0.0346907610
961,0.0347326130
962,0.0317336390
963,0.0302877990
964,0.0341594070
965,0.0247577930
966,0.0246939550
967,0.0244543150
968,0.0245410190
969,0.0243228690
970,0.0246360950
971,0.0248512730
972,0.0247953240
973,0.0246887090
974,0.0248125990
975,0.0247378280
976,0.0250485460
977,0.0243945790
978,0.0241586710
979,0.0242541450
980,0.0243615310
981,0.0249763720
982,0.0243568460
983,0.0243351410
984,0.0236024960
985,0.0246319570
986,0.0238555830
987,0.0234321800
988,0.0232587580
989,0.0234865660
990,0.0235168940
991,0.0233761910
992,0.0234783610
993,0.0235330870
994,0.0238769230
995,0.0236645330
996,0.0238720300
997,0.0246052430
998,0.0249697330
999,0.0254553190
1000,0.0248754170
1001,0.0256028520
1002,0.0254792490
1003,0.0260238980
1004,0.0254673930
1005,0.0276585540
1006,0.0313445970
1007,0.0340643060
1008,0.0358925860
1009,0.0327828650
1010,0.0256027630
1011,0.0253647170
1012,0.0256159210
1013,0.0256677670
1014,0.0255181500
1015,0.0266087570
1016,0.0259930720
1017,0.0259724130
1018,0.0262797190
1019,0.0269014590
1020,0.0263028980
1021,0.0263464970
1022,0.0264292400
1023,0.0258967660
1024,0.0261383250
1025,0.0273087870
1026,0.0267555790
1027,0.0265152500
1028,0.0255791210
1029,0.0255324040
1030,0.0252744800
1031,0.0270741920
1032,0.0261666700
1033,0.0253012750
1034,0.0255953430
1035,0.0263052210
1036,0.0259493170
1037,0.0256730090
1038,0.0257989940
1039,0.0259286800
1040,0.0262219410
1041,0.0274465800
1042,0.0277095750
1043,0.0275044710
1044,0.0277419280
1045,0.0276018580
1046,0.0272873910
1047,0.0281097240
1048,0.0316034670
1049,0.0280233130
1050,0.0283299540
1051,0.0279761090
1052,0.0281381340
1053,0.0282025690
1054,0.0281668060
1055,0.0282007150
1056,0.0283077630
1057,0.0283808580
1058,0.0343829960
1059,0.0292906220
1060,0.0284601720
1061,0.0287385900
1062,0.0293528390
1063,0.0315422230
1064,0.0288016370
1065,0.0288424340
1066,0.0291469340
1067,0.0289389290
1068,0.0288771960
1069,0.0283414480
1070,0.0272614150
1071,0.0273647470
1072,0.0273483320
1073,0.0273701300
1074,0.0275875730
1075,0.0294329660
1076,0.0291404260
1077,0.0294445030
1078,0.0315178390
1079,0.0369315480
1080,0.0473269500
1081,0.0469803230
1082,0.0470606290
1083,0.0413310250
1084,0.0347443090
1085,0.0297522910
1086,0.0298136420
1087,0.0296620750
1088,0.0293347030
1089,0.0297309490
1090,0.0300935480
1091,0.0303141910
1092,0.0300803100
1093,0.0294597560
1094,0.0285304110
1095,0.0291049340
1096,0.0288660340
1097,0.0287784810
1098,0.0289202410
1099,0.0291567620
1100,0.0295370300
1101,0.0293245340
1102,0.0288891540
1103,0.0289510430
1104,0.0296928000
1105,0.0294331370
1106,0.0314985430
1107,0.0316988680
1108,0.0359604420
1109,0.0392113470
1110,0.0487209390
1111,0.0475575440
1112,0.0427709500
1113,0.0333785480
1114,0.0310454470
1115,0.0323413530
1116,0.0324313100
1117,0.0327972150
1118,0.0321142450
1119,0.0319092440
1120,0.0310284710
1121,0.0312720850
1122,0.0307027890
1123,0.0306021590
1124,0.0322681760
1125,0.0321787180
1126,0.0322499990
1127,0.0323220370
1128,0.0326880600
1129,0.0344312830
1130,0.0376101390
1131,0.0333492460
1132,0.0330581780
1133,0.0342264460
1134,0.0337395630
1135,0.0335621880
1136,0.0339867930
1137,0.0336109300
1138,0.0335544990
1139,0.0333296110
1140,0.0332376110
1141,0.0334268120
1142,0.0336821040
1143,0.0335736120
1144,0.0336475030
1145,0.0341631280
1146,0.0330101020
1147,0.0334300450
1148,0.0330872430
1149,0.0334689960
1150,0.0336835180
1151,0.0343643420
1152,0.0346025190
1153,0.0370629610
1154,0.0346745070
1155,0.0337447770
1156,0.0340950240
1157,0.0347184200
1158,0.0343781840
1159,0.0342663000
1160,0.0341307000
1161,0.0343834060
1162,0.0343143430
1163,0.0345756400
1164,0.0347879840
1165,0.0345466250
1166,0.0335136130
1167,0.0329119290
1168,0.0350817850
1169,0.0360136290
1170,0.0345367270
1171,0.0344793500
1172,0.0346854110
1173,0.0356548540
1174,0.0342444150
1175,0.0330936050
1176,0.0332652450
1177,0.0333103870
1178,0.0333643360
1179,0.0341637340
1180,0.0343498350
1181,0.0338763230
1182,0.0346510920
1183,0.0338280870
1184,0.0388504470
1185,0.0341876130
1186,0.0353889710
1187,0.0350287660
1188,0.0360959560
1189,0.0362520300
1190,0.0360058930
1191,0.0360647760
1192,0.0363254880
1193,0.0364701030
1194,0.0365915710
1195,0.0362752930
1196,0.0366745170
1197,0.0364231710
1198,0.0364564090
1199,0.0366551970
1200,0.0366555530
1201,0.0367332250
1202,0.0367606760
1203,0.0365237170
1204,0.0358507390
1205,0.0348913850
1206,0.0348751580
1207,0.0350396520
1208,0.0358723160
1209,0.0356188570
1210,0.0351736000
1211,0.0371605000
1212,0.0372530300
1213,0.0392296860
1214,0.0376667140
1215,0.0373804240
1216,0.0396269210
1217,0.0383381950
1218,0.0377412600
1219,0.0381883930
1220,0.0425040530
1221,0.0391742680
1222,0.0382801680
1223,0.0405789200
1224,0.0379207460
1225,0.0378594430
1226,0.0375110260
1227,0.0376581220
1228,0.0361610540
1229,0.0362135590
1230,0.0368209820
1231,0.0362353880
1232,0.0361821860
1233,0.0363372630
1234,0.0372281220
1235,0.0373733550
1236,0.0374478650
1237,0.0365862440
1238,0.0363548110
1239,0.0364657740
1240,0.0366637430
1241,0.0366634600
1242,0.0384816220
1243,0.0458951280
1244,0.0582980000
1245,0.0556518000
1246,0.0586619620
1247,0.0527323590
1248,0.0410318690
1249,0.0409455920
1250,0.0409313410
1251,0.0397082980
1252,0.0404450800
1253,0.0408920900
1254,0.0411481600
1255,0.0410625880
1256,0.0417415320
1257,0.0412510770
1258,0.0414177250
1259,0.0412733840
1260,0.0419070420
1261,0.0410671660
1262,0.0415534520
1263,0.0399155200
1264,0.0383304690
1265,0.0390809590
1266,0.0384692330
1267,0.0382441330
1268,0.0382701740
1269,0.0402788850
1270,0.0392830660
1271,0.0387248470
1272,0.0398375820
1273,0.0383972390
1274,0.0391083180
1275,0.0414048110
1276,0.0502505070
1277,0.0618589920
1278,0.0674965280
1279,0.0635620660
1280,0.0496498850
1281,0.0428177260
1282,0.0425632870
1283,0.0428573280
1284,0.0429010430
1285,0.0429621290
1286,0.0432176530
1287,0.0428281480
1288,0.0431199170
1289,0.0423670950
1290,0.0425122350
1291,0.0421640350
1292,0.0421688750
1293,0.0406166040
1294,0.0413611230
1295,0.0408240210
1296,0.0399148580
1297,0.0411386330
1298,0.0426013890
1299,0.0461085580
1300,0.0560232920
1301,0.0615016480
1302,0.0613712140
1303,0.0604391280
1304,0.0445201240
1305,0.0433974040
1306,0.0434439770
1307,0.0431022290
1308,0.0431186160
1309,0.0426397670
1310,0.0435615180
1311,0.0431575240
1312,0.0428072270
1313,0.0431219850
1314,0.0428268150
1315,0.0437488200
1316,0.0542390560
1317,0.0607876350
1318,0.0669063800
1319,0.0777073420
1320,0.0499597770
1321,0.0470825500
1322,0.0479033470
1323,0.0481330130
1324,0.0482562860
1325,0.0469049280
1326,0.0453332780
1327,0.0460134750
1328,0.0456105760
1329,0.0439891460
1330,0.0429187000
1331,0.0421574290
1332,0.0429449400
1333,0.0445748960
1334,0.0451347300
1335,0.0452529870
1336,0.0452827730
1337,0.0448260850
1338,0.0455157500
1339,0.0459127910
1340,0.0456182050
1341,0.0473301000
1342,0.0517396070
1343,0.0457869600
1344,0.0456162810
1345,0.0462745310
1346,0.0459549480
1347,0.0462450500
1348,0.0466596490
1349,0.0556980960
1350,0.0469041450
1351,0.0466074990
1352,0.0461369920
1353,0.0467451850
1354,0.0475363370
1355,0.0468292580
1356,0.0471737710
1357,0.0503910610
1358,0.0474428120
1359,0.0498157960
1360,0.0471579960
1361,0.0464884880
1362,0.0468896260
1363,0.0465087200
1364,0.0480085820
1365,0.0474220480
1366,0.0486319900
1367,0.0450525000
1368,0.0443585400
1369,0.0442858880
1370,0.0445416180
1371,0.0444273790
1372,0.0447110400
1373,0.0448483330
1374,0.0445891880
1375,0.0463677140
1376,0.0461478100
1377,0.0458063550
1378,0.0463081150
1379,0.0456092010
1380,0.0455393470
1381,0.0458689540
1382,0.0452742510
1383,0.0453921750
1384,0.0453374600
1385,0.0464286050
1386,0.0458830100
1387,0.0468521910
1388,0.0481192090
1389,0.0531884340
1390,0.0477239850
1391,0.0468408430
1392,0.0483051720
1393,0.0464420830
1394,0.0467814800
1395,0.0459365310
1396,0.0465118490
1397,0.0484931070
1398,0.0468063420
1399,0.0475929920
1400,0.0494796470
1401,0.0469909740
1402,0.0469217850
1403,0.0482875290
1404,0.0468619740
1405,0.0472299660
1406,0.0469865670
1407,0.0475728440
1408,0.0477701150
1409,0.0470030920
1410,0.0480351940
1411,0.0551840540
1412,0.0574678760
1413,0.0572675670
1414,0.0509184410
1415,0.0505940820
1416,0.0485898910
1417,0.0504765860
1418,0.0503182270
1419,0.0504777860
1420,0.0495129290
1421,0.0504877970
1422,0.0509627010
1423,0.0509146040
1424,0.0518588840
1425,0.0517198550
1426,0.0518309260
1427,0.0517858780
1428,0.0517483780
1429,0.0514424180
1430,0.0523409390
1431,0.0517391510
1432,0.0519689070
1433,0.0560143400
1434,0.0563884490
1435,0.0519382990
1436,0.0521032360
1437,0.0524114670
1438,0.0524145950
1439,0.0523731480
1440,0.0523801480
1441,0.0553242500
1442,0.0513142410
1443,0.0497279540
1444,0.0493941560
1445,0.0519771280
1446,0.0526122200
1447,0.0502507800
1448,0.0498432940
1449,0.0497095800
1450,0.0524898730
1451,0.0525075130
1452,0.0498843280
1453,0.0507663710
1454,0.0533208130
1455,0.0535063870
1456,0.0516409700
1457,0.0509231680
1458,0.0518211580
1459,0.0502805110
1460,0.0508591440
1461,0.0546859060
1462,0.0507145650
1463,0.0512800130
1464,0.0510061050
1465,0.0528833730
1466,0.0518193610
1467,0.0512519680
1468,0.0523437210
1469,0.0513168980
1470,0.0516640810
1471,0.0513254170
1472,0.0514227030
1473,0.0510574370
1474,0.0518781130
1475,0.0548039580
1476,0.0526921260
1477,0.0533407930
1478,0.0517291930
1479,0.0534238480
1480,0.0553616320
1481,0.0548971340
1482,0.0531049780
1483,0.0539868730
1484,0.0530471800
1485,0.0544042990
1486,0.0542809490
1487,0.0524786720
1488,0.0536547410
1489,0.0531017770
1490,0.0540774440
1491,0.0530050290
1492,0.0533720530
1493,0.0551049840
1494,0.0540754090
1495,0.0528646720
1496,0.0547160690
1497,0.0530509630
1498,0.0533112280
